Year,Region,State,County,Total percentAvg pay,AverageWage,Management percent,Management pay,Business and financial operations percent,Business and financial operations pay,Computer and mathematical percent,Computer and mathematical pay,Architecture and engineering percent,Architecture and engineering pay,"Life, physical, and social science percent","Life, physical, and social science pay",Community and social service percent,Community and social service pay,Legal percent,Legal pay,"Education, training, and library percent","Education, training, and library pay","Arts, design, entertainment, sports, and media percent","Arts, design, entertainment, sports, and media pay",Healthcare practitioners and technical percent,Healthcare practitioners and technical pay,Healthcare support percent,Healthcare support pay,Protective service percent,Protective service pay,Food preparation and serving related percent,Food preparation and serving related pay,Building and grounds cleaning and maintenance percent,Building and grounds cleaning and maintenance pay,Personal care and service percent,Personal care and service pay,Sales and related percent,Sales and related pay,Office and administrative support percent,Office and administrative support pay,"Farming, fishing, and forestry percent","Farming, fishing, and forestry pay",Construction and extraction percent,Construction and extraction pay,"Installation, maintenance, and repair percent","Installation, maintenance, and repair pay",Production percent,Production pay,Transportation and material moving percent,Transportation and material moving pay
May 2018,mid-atlantic,Pennsylvania,Allentown,100,22.87,3.8,57.09,3.5,35.45,1.8,37.31,2,38.84,0.6,34.05,1.5,22.87,0.4,36.39,6.2,30.1,1,23.81,7.4,36.28,3.6,15.93,1.9,20.93,8.7,11.77,3,14.67,4.1,12.71,9,18.74,16,17.8,0,17.73,3,24.89,4,23.6,7.1,19.64,11.5,17.33
May 2019,mid-atlantic,Pennsylvania,Allentown,100,23.23,4.1,56.12,3.7,35.51,1.9,38,1.6,38.46,0.7,31.8,1.6,23.19,0.4,37.02,6.1,30.28,0.9,24.35,7.1,37.59,5.3,15.06,1.8,22.63,8.7,12.18,3.1,15.75,2.7,13.31,8.7,18.6,14.1,18.88,,16.59,3,25.11,4,24.43,7.2,19.8,13.4,17.25
May 2020,mid-atlantic,Pennsylvania,Allentown,100,24.66,4.4,57.1,4,37.08,2,39.71,1.6,41.11,0.7,33.21,1.7,23.42,0.4,48.09,6,30.84,1,25.31,7.6,39.36,5.2,15.35,1.9,23.19,7.2,12.81,3,16.6,2.3,13.96,8.6,20.83,13.8,19.61,0.1,17.82,2.9,25.9,4.1,25.41,7.5,20.72,14.2,17.87
May 2018,mid-atlantic,Maryland,Baltimore,100,27.76,5.8,61.68,6.3,38.26,4.7,48.8,2.2,44.61,1.1,37.64,1.7,24.64,1.1,43.38,6.3,32.56,1.2,26.99,6.8,40.34,2.9,16.38,3,23.93,8.1,12.19,3,14.52,3.2,14.6,9.5,21.23,15.2,19.9,0.1,15.45,4.3,24.04,3.7,24.55,3.2,19.62,6.6,19.94
May 2019,mid-atlantic,Maryland,Baltimore,100,28.49,6,61.31,6.6,38.76,5,49.92,2.1,46.31,1.2,38.81,1.6,25.28,1.1,46.9,6.2,33.15,1.2,27.78,6.7,40.51,3.6,15.83,3,24.89,8,13.06,3,14.89,2.7,16.01,9.5,21.66,13.2,21.19,0.1,16.68,4.4,24.6,3.6,24.94,3,20.66,8.1,19.02
May 2020,mid-atlantic,Maryland,Baltimore,100,30.05,6.1,61.95,7.3,40.66,5.5,50.97,2.1,47.05,1.4,39.57,1.7,25.39,1.1,50.27,5.6,36.35,1.2,28.71,6.9,42.32,3.8,16.16,3,26.43,6.8,13.55,3,15.66,2.1,16.7,9,23.54,13.3,21.72,0.1,17.55,4.7,24.99,3.6,26.14,3.1,21.99,8.8,19.77
May 2018,mid-atlantic,West Virginia,Charleston,100,21.48,5.3,41.66,4.5,28.34,2.4,30.2,1.6,34.55,1.2,26.98,1.9,19.95,1.5,37.15,4.5,20.68,0.9,23.27,9,35.13,2.6,13.53,2.9,16.49,7.7,11.14,2.8,12.16,3.5,10.93,9.1,16.42,18.3,16.7,0.1,15.18,5,23.29,4.9,21.06,3.6,21.53,6.6,17.72
May 2019,mid-atlantic,West Virginia,Charleston,100,21.96,5.3,43.78,5,27.88,2.8,29.68,1.5,34.91,1.3,28.76,1.7,20.16,1.5,38.94,4.4,21.19,1,25.2,8.8,36.7,4.9,12.44,4,15.3,7.5,11.37,2.8,12.19,1.6,12.23,8.6,16.84,17,17.47,0.1,14.63,5.2,23.42,4.6,21.08,3.3,21.04,7.2,17.48
May 2020,mid-atlantic,West Virginia,Charleston,100,23.31,5.9,47.25,5.4,29.83,2.6,30.07,1.6,35.65,1.3,29.67,2,19.93,1.8,43.07,5,21.8,1,20.93,9.1,37.89,5.2,12.96,2.9,17.53,7.1,11.68,3,12.89,1.3,13.27,8.6,17.82,16.9,18.13,,16.31,4.8,23.46,4.7,21.82,3.3,21.96,6.5,18.6
May 2018,mid-atlantic,Pennsylvania,Erie,100,19.94,3.6,49.69,3.4,28.73,1.2,33.42,1.2,31.22,0.3,28.88,2,19.96,0.3,41.5,5.9,24.81,1.2,20.28,7.4,34.81,3.8,14.44,2,23.97,10.2,11.05,3.3,11.97,6.3,11.99,9.8,15.68,14.6,16.42,0,19.52,3,23.22,3.7,20.86,11.2,17.15,5.6,15.75
