State,Month and Year,Unemp Size
Alabama,1/1/2019 0:00,93307
Alaska,1/1/2019 0:00,23811
Arizona,1/1/2019 0:00,179956
Arkansas,1/1/2019 0:00,57056
California,1/1/2019 0:00,929788
Colorado,1/1/2019 0:00,112314
Connecticut,1/1/2019 0:00,87253
Delaware,1/1/2019 0:00,18880
D.C.,1/1/2019 0:00,25071
Florida,1/1/2019 0:00,387181
Georgia,1/1/2019 0:00,215348
Hawaii,1/1/2019 0:00,19125
Idaho,1/1/2019 0:00,34546
Illinois,1/1/2019 0:00,338614
Indiana,1/1/2019 0:00,143577
Iowa,1/1/2019 0:00,59227
Kansas,1/1/2019 0:00,54215
Kentucky,1/1/2019 0:00,97122
Louisiana,1/1/2019 0:00,108242
Maine,1/1/2019 0:00,27803
Maryland,1/1/2019 0:00,139112
Massachusetts,1/1/2019 0:00,142092
Michigan,1/1/2019 0:00,246851
Minnesota,1/1/2019 0:00,132841
Mississippi,1/1/2019 0:00,70218
Missouri,1/1/2019 0:00,117032
Montana,1/1/2019 0:00,23572
Nebraska,1/1/2019 0:00,35091
Nevada,1/1/2019 0:00,68915
New Hampshire,1/1/2019 0:00,23168
New Jersey,1/1/2019 0:00,192950
New Mexico,1/1/2019 0:00,49961
New York,1/1/2019 0:00,452704
North Carolina,1/1/2019 0:00,224516
North Dakota,1/1/2019 0:00,12283
Ohio,1/1/2019 0:00,296269
Oklahoma,1/1/2019 0:00,68128
Oregon,1/1/2019 0:00,100262
Pennsylvania,1/1/2019 0:00,296686
Rhode Island,1/1/2019 0:00,25358
South Carolina,1/1/2019 0:00,93620
South Dakota,1/1/2019 0:00,16112
Tennessee,1/1/2019 0:00,128818
Texas,1/1/2019 0:00,572335
Utah,1/1/2019 0:00,49224
Vermont,1/1/2019 0:00,9950
Virginia,1/1/2019 0:00,149375
Washington,1/1/2019 0:00,204534
West Virginia,1/1/2019 0:00,44953
Wisconsin,1/1/2019 0:00,113566
Wyoming,1/1/2019 0:00,12226
Alabama,2/1/2019 0:00,85826
Alaska,2/1/2019 0:00,24287
Arizona,2/1/2019 0:00,165408
Arkansas,2/1/2019 0:00,55054
California,2/1/2019 0:00,867237
Colorado,2/1/2019 0:00,102050
Connecticut,2/1/2019 0:00,81710
Delaware,2/1/2019 0:00,18515
D.C.,2/1/2019 0:00,24537
Florida,2/1/2019 0:00,337903
Georgia,2/1/2019 0:00,193831
Hawaii,2/1/2019 0:00,17830
Idaho,2/1/2019 0:00,32131
Illinois,2/1/2019 0:00,303327
Indiana,2/1/2019 0:00,132171
Iowa,2/1/2019 0:00,53763
Kansas,2/1/2019 0:00,51300
Kentucky,2/1/2019 0:00,98295
Louisiana,2/1/2019 0:00,88147
Maine,2/1/2019 0:00,27128
Maryland,2/1/2019 0:00,129713
Massachusetts,2/1/2019 0:00,131066
Michigan,2/1/2019 0:00,222644
Minnesota,2/1/2019 0:00,120118
Mississippi,2/1/2019 0:00,65518
Missouri,2/1/2019 0:00,114401
Montana,2/1/2019 0:00,22234
Nebraska,2/1/2019 0:00,34201
Nevada,2/1/2019 0:00,64458
New Hampshire,2/1/2019 0:00,23351
New Jersey,2/1/2019 0:00,183781
New Mexico,2/1/2019 0:00,48330
New York,2/1/2019 0:00,433666
North Carolina,2/1/2019 0:00,211746
North Dakota,2/1/2019 0:00,12206
Ohio,2/1/2019 0:00,262543
Oklahoma,2/1/2019 0:00,63821
Oregon,2/1/2019 0:00,95571
Pennsylvania,2/1/2019 0:00,287000
Rhode Island,2/1/2019 0:00,23490
South Carolina,2/1/2019 0:00,83113
South Dakota,2/1/2019 0:00,16673
Tennessee,2/1/2019 0:00,113360
Texas,2/1/2019 0:00,515242
Utah,2/1/2019 0:00,49673
Vermont,2/1/2019 0:00,9359
Virginia,2/1/2019 0:00,137614
Washington,2/1/2019 0:00,198314
West Virginia,2/1/2019 0:00,46841
Wisconsin,2/1/2019 0:00,118589
Wyoming,2/1/2019 0:00,11011
Alabama,3/1/2019 0:00,77314
Alaska,3/1/2019 0:00,23455
Arizona,3/1/2019 0:00,165883
Arkansas,3/1/2019 0:00,47229
California,3/1/2019 0:00,864141
Colorado,3/1/2019 0:00,97015
Connecticut,3/1/2019 0:00,75987
Delaware,3/1/2019 0:00,17869
D.C.,3/1/2019 0:00,22965
Florida,3/1/2019 0:00,330228
Georgia,3/1/2019 0:00,182864
Hawaii,3/1/2019 0:00,17942
Idaho,3/1/2019 0:00,30707
Illinois,3/1/2019 0:00,286272
Indiana,3/1/2019 0:00,126893
Iowa,3/1/2019 0:00,55431
Kansas,3/1/2019 0:00,49849
Kentucky,3/1/2019 0:00,97348
Louisiana,3/1/2019 0:00,85628
Maine,3/1/2019 0:00,26477
Maryland,3/1/2019 0:00,121415
Massachusetts,3/1/2019 0:00,124631
Michigan,3/1/2019 0:00,228961
Minnesota,3/1/2019 0:00,121301
Mississippi,3/1/2019 0:00,64742
Missouri,3/1/2019 0:00,112909
Montana,3/1/2019 0:00,22162
Nebraska,3/1/2019 0:00,34777
Nevada,3/1/2019 0:00,62206
New Hampshire,3/1/2019 0:00,22725
