State,Month and Year,Workforce Size,Unemp Size
Alabama,1/1/2019 0:00,2227943,93307
Alaska,1/1/2019 0:00,344073,23811
Arizona,1/1/2019 0:00,3495956,179956
Arkansas,1/1/2019 0:00,1343146,57056
California,1/1/2019 0:00,19346174,929788
Colorado,1/1/2019 0:00,3102194,112314
Connecticut,1/1/2019 0:00,1896499,87253
Delaware,1/1/2019 0:00,483380,18880
D.C.,1/1/2019 0:00,405356,25071
Florida,1/1/2019 0:00,10224613,387181
Georgia,1/1/2019 0:00,5092817,215348
Hawaii,1/1/2019 0:00,667666,19125
Idaho,1/1/2019 0:00,865592,34546
Illinois,1/1/2019 0:00,6437765,338614
Indiana,1/1/2019 0:00,3387262,143577
Iowa,1/1/2019 0:00,1706902,59227
Kansas,1/1/2019 0:00,1475063,54215
Kentucky,1/1/2019 0:00,2043353,97122
Louisiana,1/1/2019 0:00,2078711,108242
Maine,1/1/2019 0:00,685064,27803
Maryland,1/1/2019 0:00,3229802,139112
Massachusetts,1/1/2019 0:00,3793621,142092
Michigan,1/1/2019 0:00,4909207,246851
Minnesota,1/1/2019 0:00,3083538,132841
Mississippi,1/1/2019 0:00,1259513,70218
Missouri,1/1/2019 0:00,3046480,117032
Montana,1/1/2019 0:00,526011,23572
Nebraska,1/1/2019 0:00,1020985,35091
Nevada,1/1/2019 0:00,1521685,68915
New Hampshire,1/1/2019 0:00,766918,23168
New Jersey,1/1/2019 0:00,4436343,192950
New Mexico,1/1/2019 0:00,943522,49961
New York,1/1/2019 0:00,9515496,452704
North Carolina,1/1/2019 0:00,5013715,224516
North Dakota,1/1/2019 0:00,397265,12283
Ohio,1/1/2019 0:00,5752171,296269
Oklahoma,1/1/2019 0:00,1826684,68128
Oregon,1/1/2019 0:00,2092729,100262
Pennsylvania,1/1/2019 0:00,6426941,296686
Rhode Island,1/1/2019 0:00,552518,25358
South Carolina,1/1/2019 0:00,2355435,93620
South Dakota,1/1/2019 0:00,455509,16112
Tennessee,1/1/2019 0:00,3293608,128818
Texas,1/1/2019 0:00,13938076,572335
Utah,1/1/2019 0:00,1580516,49224
Vermont,1/1/2019 0:00,342973,9950
Virginia,1/1/2019 0:00,4351685,149375
Washington,1/1/2019 0:00,3860249,204534
West Virginia,1/1/2019 0:00,782264,44953
Wisconsin,1/1/2019 0:00,3083718,113566
Wyoming,1/1/2019 0:00,288249,12226
Alabama,2/1/2019 0:00,2243685,85826
Alaska,2/1/2019 0:00,345233,24287
Arizona,2/1/2019 0:00,3510890,165408
Arkansas,2/1/2019 0:00,1356816,55054
California,2/1/2019 0:00,19429914,867237
Colorado,2/1/2019 0:00,3117842,102050
Connecticut,2/1/2019 0:00,1894430,81710
Delaware,2/1/2019 0:00,483342,18515
D.C.,2/1/2019 0:00,409166,24537
Florida,2/1/2019 0:00,10273434,337903
Georgia,2/1/2019 0:00,5107139,193831
Hawaii,2/1/2019 0:00,664846,17830
Idaho,2/1/2019 0:00,868778,32131
Illinois,2/1/2019 0:00,6458354,303327
Indiana,2/1/2019 0:00,3392383,132171
Iowa,2/1/2019 0:00,1717025,53763
Kansas,2/1/2019 0:00,1478880,51300
Kentucky,2/1/2019 0:00,2057642,98295
Louisiana,2/1/2019 0:00,2080031,88147
Maine,2/1/2019 0:00,684088,27128
Maryland,2/1/2019 0:00,3231432,129713
Massachusetts,2/1/2019 0:00,3799710,131066
Michigan,2/1/2019 0:00,4932764,222644
Minnesota,2/1/2019 0:00,3086374,120118
Mississippi,2/1/2019 0:00,1267685,65518
Missouri,2/1/2019 0:00,3064263,114401
Montana,2/1/2019 0:00,526862,22234
Nebraska,2/1/2019 0:00,1025913,34201
Nevada,2/1/2019 0:00,1532073,64458
New Hampshire,2/1/2019 0:00,768121,23351
New Jersey,2/1/2019 0:00,4458702,183781
New Mexico,2/1/2019 0:00,949111,48330
New York,2/1/2019 0:00,9542016,433666
North Carolina,2/1/2019 0:00,5059666,211746
North Dakota,2/1/2019 0:00,399102,12206
Ohio,2/1/2019 0:00,5769567,262543
Oklahoma,2/1/2019 0:00,1834246,63821
Oregon,2/1/2019 0:00,2098128,95571
Pennsylvania,2/1/2019 0:00,6442370,287000
Rhode Island,2/1/2019 0:00,552145,23490
South Carolina,2/1/2019 0:00,2361320,83113
South Dakota,2/1/2019 0:00,458034,16673
Tennessee,2/1/2019 0:00,3316279,113360
Texas,2/1/2019 0:00,14001465,515242
Utah,2/1/2019 0:00,1587922,49673
Vermont,2/1/2019 0:00,343442,9359
Virginia,2/1/2019 0:00,4379746,137614
Washington,2/1/2019 0:00,3880267,198314
West Virginia,2/1/2019 0:00,789220,46841
Wisconsin,2/1/2019 0:00,3101942,118589
Wyoming,2/1/2019 0:00,288220,11011
Alabama,3/1/2019 0:00,2246183,77314
Alaska,3/1/2019 0:00,345061,23455
Arizona,3/1/2019 0:00,3521017,165883
Arkansas,3/1/2019 0:00,1358425,47229
California,3/1/2019 0:00,19393147,864141
Colorado,3/1/2019 0:00,3114112,97015
Connecticut,3/1/2019 0:00,1896122,75987
Delaware,3/1/2019 0:00,486109,17869
D.C.,3/1/2019 0:00,409447,22965
Florida,3/1/2019 0:00,10264830,330228
Georgia,3/1/2019 0:00,5102935,182864
Hawaii,3/1/2019 0:00,665482,17942
Idaho,3/1/2019 0:00,870361,30707
Illinois,3/1/2019 0:00,6458721,286272
Indiana,3/1/2019 0:00,3391157,126893
Iowa,3/1/2019 0:00,1723627,55431
Kansas,3/1/2019 0:00,1476085,49849
Kentucky,3/1/2019 0:00,2072300,97348
Louisiana,3/1/2019 0:00,2082795,85628
Maine,3/1/2019 0:00,685242,26477
Maryland,3/1/2019 0:00,3239714,121415
Massachusetts,3/1/2019 0:00,3801221,124631
Michigan,3/1/2019 0:00,4937472,228961
Minnesota,3/1/2019 0:00,3090439,121301
Mississippi,3/1/2019 0:00,1269582,64742
Missouri,3/1/2019 0:00,3068119,112909
Montana,3/1/2019 0:00,527703,22162
Nebraska,3/1/2019 0:00,1029235,34777
Nevada,3/1/2019 0:00,1530663,62206
New Hampshire,3/1/2019 0:00,770508,22725
New Jersey,3/1/2019 0:00,4450191,164678
New Mexico,3/1/2019 0:00,945164,45161
New York,3/1/2019 0:00,9529122,400570
North Carolina,3/1/2019 0:00,5072312,203528
North Dakota,3/1/2019 0:00,399926,12136
Ohio,3/1/2019 0:00,5774816,244786
Oklahoma,3/1/2019 0:00,1837114,59370
Oregon,3/1/2019 0:00,2096772,94455
Pennsylvania,3/1/2019 0:00,6431249,275015
Rhode Island,3/1/2019 0:00,549669,21490
South Carolina,3/1/2019 0:00,2370345,79731
South Dakota,3/1/2019 0:00,459822,16563
Tennessee,3/1/2019 0:00,3330420,116176
Texas,3/1/2019 0:00,13976212,489883
Utah,3/1/2019 0:00,1590434,48291
Vermont,3/1/2019 0:00,343679,9206
Virginia,3/1/2019 0:00,4392682,131359
Washington,3/1/2019 0:00,3889343,187240
West Virginia,3/1/2019 0:00,784130,41124
Wisconsin,3/1/2019 0:00,3096679,117577
Wyoming,3/1/2019 0:00,289806,11211
Alabama,4/1/2019 0:00,2235992,58992
Alaska,4/1/2019 0:00,343620,21609
Arizona,4/1/2019 0:00,3504642,157118
Arkansas,4/1/2019 0:00,1359511,41249
California,4/1/2019 0:00,19238934,733781
Colorado,4/1/2019 0:00,3109558,85675
Connecticut,4/1/2019 0:00,1886447,62637
Delaware,4/1/2019 0:00,486111,16882
D.C.,4/1/2019 0:00,409186,20741
Florida,4/1/2019 0:00,10229389,298056
Georgia,4/1/2019 0:00,5064999,158519
Hawaii,4/1/2019 0:00,663211,17225
Idaho,4/1/2019 0:00,872118,25898
Illinois,4/1/2019 0:00,6413186,234005
Indiana,4/1/2019 0:00,3373458,96412
Iowa,4/1/2019 0:00,1724077,42760
Kansas,4/1/2019 0:00,1473233,41220
Kentucky,4/1/2019 0:00,2063511,80609
Louisiana,4/1/2019 0:00,2082577,78569
Maine,4/1/2019 0:00,685039,22976
Maryland,4/1/2019 0:00,3226095,103809
Massachusetts,4/1/2019 0:00,3784300,103672
Michigan,4/1/2019 0:00,4884834,179338
Minnesota,4/1/2019 0:00,3085711,94899
Mississippi,4/1/2019 0:00,1267432,60185
Missouri,4/1/2019 0:00,3060323,82667
Montana,4/1/2019 0:00,528624,17703
Nebraska,4/1/2019 0:00,1031872,30397
Nevada,4/1/2019 0:00,1531684,59974
New Hampshire,4/1/2019 0:00,765976,19243
New Jersey,4/1/2019 0:00,4422942,124804
New Mexico,4/1/2019 0:00,944960,41959
New York,4/1/2019 0:00,9449425,342246
North Carolina,4/1/2019 0:00,5050492,178912
North Dakota,4/1/2019 0:00,401447,9963
Ohio,4/1/2019 0:00,5752958,202345
Oklahoma,4/1/2019 0:00,1828940,50819
Oregon,4/1/2019 0:00,2092686,80230
Pennsylvania,4/1/2019 0:00,6400636,226869
Rhode Island,4/1/2019 0:00,548414,17630
South Carolina,4/1/2019 0:00,2363633,60382
South Dakota,4/1/2019 0:00,460099,15271
Tennessee,4/1/2019 0:00,3323559,96887
Texas,4/1/2019 0:00,13922611,417640
Utah,4/1/2019 0:00,1590603,42102
Vermont,4/1/2019 0:00,340621,8649
Virginia,4/1/2019 0:00,4380461,106476
Washington,4/1/2019 0:00,3875503,160332
West Virginia,4/1/2019 0:00,789799,35643
Wisconsin,4/1/2019 0:00,3082421,97631
Wyoming,4/1/2019 0:00,288723,9980
Alabama,5/1/2019 0:00,2232314,55339
Alaska,5/1/2019 0:00,348619,21029
Arizona,5/1/2019 0:00,3514657,161415
Arkansas,5/1/2019 0:00,1363674,45702
California,5/1/2019 0:00,19261786,694948
Colorado,5/1/2019 0:00,3119482,80659
Connecticut,5/1/2019 0:00,1905616,67905
Delaware,5/1/2019 0:00,484877,16258
D.C.,5/1/2019 0:00,408260,21301
Florida,5/1/2019 0:00,10297648,310611
Georgia,5/1/2019 0:00,5085861,168072
Hawaii,5/1/2019 0:00,660719,17075
Idaho,5/1/2019 0:00,879900,22733
Illinois,5/1/2019 0:00,6416363,222493
Indiana,5/1/2019 0:00,3382235,99835
Iowa,5/1/2019 0:00,1726212,41050
Kansas,5/1/2019 0:00,1475384,44053
Kentucky,5/1/2019 0:00,2074273,86279
Louisiana,5/1/2019 0:00,2085409,89769
Maine,5/1/2019 0:00,688088,20644
Maryland,5/1/2019 0:00,3244597,111054
Massachusetts,5/1/2019 0:00,3790731,109174
Michigan,5/1/2019 0:00,4923525,184604
Minnesota,5/1/2019 0:00,3094150,83114
Mississippi,5/1/2019 0:00,1277185,67760
Missouri,5/1/2019 0:00,3072393,91760
Montana,5/1/2019 0:00,532019,15197
Nebraska,5/1/2019 0:00,1037150,30785
Nevada,5/1/2019 0:00,1538540,59063
New Hampshire,5/1/2019 0:00,768801,18515
New Jersey,5/1/2019 0:00,4443339,133039
New Mexico,5/1/2019 0:00,944675,42160
New York,5/1/2019 0:00,9457173,345064
North Carolina,5/1/2019 0:00,5081718,196440
North Dakota,5/1/2019 0:00,404896,8303
